DATE,MRTSSM44112USN
2012-05-01,6667
2012-06-01,6658
2012-07-01,6411
2012-08-01,7237
2012-09-01,6383
2012-10-01,6450
2012-11-01,6167
2012-12-01,6070
2013-01-01,6776
2013-02-01,8422
2013-03-01,8287
2013-04-01,7460
2013-05-01,7250
2013-06-01,7039
2013-07-01,7042
2013-08-01,7359
2013-09-01,6329
2013-10-01,6781
2013-11-01,6280
2013-12-01,5684
2014-01-01,6169
2014-02-01,8162
2014-03-01,8716
2014-04-01,7740
2014-05-01,7837
2014-06-01,7684
2014-07-01,7802
2014-08-01,8088
2014-09-01,7730
2014-10-01,8087
2014-11-01,6954
2014-12-01,7139
2015-01-01,7602
2015-02-01,9315
2015-03-01,9581
2015-04-01,9228
2015-05-01,8803
2015-06-01,8595
2015-07-01,8638
2015-08-01,8609
2015-09-01,7918
2015-10-01,8135
2015-11-01,7381
2015-12-01,7266
2016-01-01,7821
2016-02-01,10516
2016-03-01,10188
2016-04-01,9314
2016-05-01,8697
2016-06-01,9110
2016-07-01,8950
2016-08-01,9504
2016-09-01,8612
2016-10-01,8985
2016-11-01,8028
2016-12-01,8635
2017-01-01,8660
2017-02-01,9775
2017-03-01,11148
2017-04-01,9394
2017-05-01,9888
2017-06-01,9938
2017-07-01,9682
2017-08-01,9788
2017-09-01,9417
2017-10-01,9293
2017-11-01,8743
2017-12-01,8374
2018-01-01,9001
2018-02-01,10116
2018-03-01,11483
2018-04-01,9748
2018-05-01,10327
2018-06-01,10006
2018-07-01,10028
2018-08-01,10354
2018-09-01,9226
2018-10-01,9413
2018-11-01,8967
2018-12-01,8690
2019-01-01,9218
2019-02-01,10107
2019-03-01,12384
2019-04-01,10744
2019-05-01,10914
2019-06-01,10401
2019-07-01,10553
2019-08-01,10621
2019-09-01,9667
2019-10-01,9920
2019-11-01,9514
2019-12-01,8670
2020-01-01,8862
2020-02-01,10409
2020-03-01,9045
2020-04-01,6163
2020-05-01,10126
2020-06-01,11277
2020-07-01,11662
2020-08-01,11428
2020-09-01,10344
2020-10-01,10217
2020-11-01,9268
2020-12-01,8877
2021-01-01,9726
2021-02-01,10385
2021-03-01,16413
2021-04-01,15534
2021-05-01,14269
2021-06-01,14220
2021-07-01,13610
2021-08-01,14106
2021-09-01,14041
2021-10-01,14267
2021-11-01,13013
2021-12-01,12619
2022-01-01,12247
2022-02-01,12861
2022-03-01,15906
2022-04-01,14696
2022-05-01,14165
